           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            356,   36.04947    ,   18.83643    ,  0.4637182    ,   243.3959    ,   255.6122    ,  -14.04041    ,   6.329170    ,   2.451425    ,  -4.031157    ,  -13.38470    ,  -12.90649    ,   8.152938    ,  -6.985840    ,   0.000000    ,  -5.771332    ,  -4.762604    ,  0.9802246E-01,  0.1559073E-02,  0.5772074    ,   76470.55    ,
           1980,            357,   28.72787    ,   14.70342    ,  0.4686914    ,   275.4216    ,   278.4887    ,  -8.429443    ,   6.507643    ,   4.914359    ,  -3.182095    ,  -9.198608    ,  -8.352295    ,   8.076604    ,  -6.442474    ,   0.000000    ,  -5.463013    ,  -4.591583    ,  0.9210205E-01,  0.2286507E-02,  0.4979531    ,   76017.23    ,
           1980,            358,   31.92393    ,   16.50007    ,  0.4707561    ,   224.0883    ,   238.4804    ,  -18.74254    ,   5.498720    ,   4.574915    ,  -3.533441    ,  -15.94229    ,  -16.57919    ,   8.202435    ,  -6.362610    ,   0.000000    ,  -5.229553    ,  -4.331482    ,  0.8636475E-01,  0.1186729E-02,   1.309619    ,   76918.47    ,
           1980,            359,   40.14829    ,   20.78798    ,  0.4694005    ,   202.5690    ,   222.1185    ,  -23.09860    ,   4.470537    ,   1.457851    ,  -4.677847    ,  -16.69678    ,  -20.85056    ,   8.211110    ,  -6.731140    ,   0.000000    ,  -5.302490    ,  -4.206299    ,  0.8096313E-01,  0.1164038E-02,   1.038018    ,   76888.81    ,
           1980,            360,   33.14468    ,   17.16779    ,  0.4703702    ,   230.4431    ,   247.9670    ,  -16.19101    ,  -2.372181    ,   2.224411    ,  -4.385576    ,  -9.288269    ,  -13.68280    ,   8.098292    ,  -6.587402    ,   0.000000    ,  -5.273041    ,  -4.215424    ,  0.7559204E-01,  0.2261953E-02,   1.969171    ,   76530.02    ,
           1980,            361,   42.88868    ,   21.92462    ,  0.4721515    ,   241.3613    ,   260.7088    ,  -13.15851    ,  -8.222626    ,   9.282739    ,  -3.833347    ,  -4.201324    ,  -10.56720    ,   8.031026    ,  -6.263947    ,   0.000000    ,  -5.126556    ,  -4.170868    ,  0.7025146E-01,  0.3310141E-02,   3.655059    ,   76464.80    ,
           1980,            362,   15.20741    ,   7.770296    ,  0.4748979    ,   288.2113    ,   296.0943    ,  -4.335876    ,  -24.88799    ,   26.09339    ,  -1.809555    ,  -3.799988    ,  -3.928131    ,   8.009634    ,  -5.167206    ,   0.000000    ,  -4.606903    ,  -4.017578    ,  0.6497192E-01,  0.3383852E-02,   7.126390    ,   76127.41    ,
           1980,            363,   40.41568    ,   21.03820    ,  0.4734834    ,   249.2777    ,   271.6389    ,  -10.15143    ,  -11.62764    ,   14.07072    ,  -1.987665    ,  -5.947632    ,  -7.311615    ,   8.088890    ,  -4.873779    ,   0.000000    ,  -4.258331    ,  -3.683167    ,  0.6002808E-01,  0.2670154E-02,   4.323010    ,   77396.09    ,
           1980,            364,   41.87549    ,   21.76122    ,  0.4685273    ,   214.6508    ,   246.5601    ,  -16.43323    ,  -14.40827    ,   7.415520    ,  -3.007360    ,  -6.348633    ,  -12.07101    ,   8.089035    ,  -5.042114    ,   0.000000    ,  -4.172546    ,  -3.446564    ,  0.5529785E-01,  0.2518841E-02,   3.444737    ,   77295.38    ,
           1980,            365,   44.47715    ,   23.38671    ,  0.4621955    ,   221.8760    ,   244.9491    ,  -16.84698    ,   2.278243    ,   1.263349    ,  -3.563627    ,  -8.331604    ,  -13.62439    ,   8.120017    ,  -5.153320    ,   0.000000    ,  -4.168457    ,  -3.360413    ,  0.5065918E-01,  0.2387382E-02,   1.588469    ,   77410.02    ,
           1980,            366,   51.39869    ,   28.09809    ,  0.4413849    ,   183.7465    ,   218.9238    ,  -24.11014    ,  -2.545353    ,   4.287606    ,  -4.381149    ,  -7.871033    ,  -18.79491    ,   8.135982    ,  -5.432068    ,   0.000000    ,  -4.263489    ,  -3.352234    ,  0.4605103E-01,  0.1538264E-02,   2.378209    ,   77844.98    ,
